d1,d2,d3,d4
28.49,685.81,210.03,307.74
228.36,510.07,47.81,332.91
172.99,638.38,81.91,215.39
198.62,700.6,143.15,152.98
678.47,26.88,580.88,864.04
191.21,669.68,112.23,180.7
74.97,712.14,202.73,258.47
7.17,657.82,205.44,334.76
97.84,754.15,286.51,332.05
677.11,26.69,579.86,863.12
168.91,639.06,83.25,216.49
333.78,841.36,290.77,7.02
342.1,854.81,303.77,16.11
172.7,638.46,82.03,215.44
232.91,498.74,58.87,344.42
670.41,23.63,573.69,857.17
626.76,77.01,506.13,782.57
675.09,25.61,578.0,861.32
676.8,26.29,579.49,862.74
13.54,646.26,194.51,334.54
25.64,681.93,206.27,307.7
697.45,94.63,618.15,904.61
5.57,661.14,197.85,322.12
228.36,510.07,47.81,332.91
168.61,640.68,84.9,215.16
12.64,669.18,200.81,316.36
173.16,640.16,83.65,213.71
230.77,519.92,40.5,321.82
324.06,829.81,278.93,10.68
95.24,752.43,282.64,328.09
230.63,511.04,47.43,331.39
264.92,426.97,285.23,547.13
259.52,455.96,306.13,556.85
8.05,663.54,198.08,319.64
247.16,474.15,305.52,549.88
200.21,505.67,272.15,506.05
38.04,694.09,212.58,300.4
328.33,833.05,282.63,9.63
195.59,666.57,109.26,181.77
168.67,640.26,84.47,215.51
191.15,668.92,111.47,181.37
224.04,486.4,73.41,361.33
258.82,456.77,305.9,556.37
27.44,684.69,209.26,308.15
189.43,639.66,82.24,208.23
259.34,458.06,307.72,557.62
191.11,668.7,111.24,181.58
322.28,827.43,276.55,12.82
23.75,679.87,205.0,308.63
31.61,685.18,204.32,300.94
333.2,840.12,289.61,7.18
228.36,510.07,47.81,332.91
297.59,816.21,261.93,30.37
322.08,829.34,278.08,10.48
229.34,507.1,50.67,335.96
228.36,510.07,47.81,332.91
201.74,532.32,27.82,315.31
225.85,520.5,38.22,322.08
666.91,22.98,570.57,854.18
230.89,512.42,46.34,329.85
332.48,840.31,289.59,6.05
675.06,24.3,577.5,860.71
205.5,518.68,42.08,329.66
25.52,680.48,203.74,306.24
12.86,667.79,198.64,315.34
332.04,840.22,289.41,5.51
42.41,698.25,214.69,297.76
626.38,71.56,507.5,784.69
634.77,65.49,516.43,793.63
31.8,688.07,209.5,304.13
228.36,510.07,47.81,332.91
33.95,690.05,210.36,302.71
368.94,419.11,411.66,669.31
364.02,427.2,410.64,666.29
41.88,696.7,212.2,296.34
220.89,525.15,32.97,318.06
333.04,822.8,275.65,27.85
170.52,637.92,81.84,216.83
204.93,519.51,41.36,328.9
168.92,639.43,83.61,216.16
228.36,510.07,47.81,332.91
228.36,510.07,47.81,332.91
37.21,688.03,202.59,294.79
327.15,832.01,281.49,9.93
167.23,641.57,86.04,214.98
328.38,833.1,282.68,9.62
98.03,755.11,285.28,328.79
331.68,841.77,290.61,4.13
330.49,838.38,287.53,5.24
95.24,752.42,282.67,328.14
228.36,510.07,47.81,332.91
332.59,838.15,287.85,8.29
228.36,510.07,47.81,332.91
228.36,510.07,47.81,332.91
333.8,842.03,291.32,6.66
168.37,640.16,84.43,215.73
627.12,76.82,506.5,782.93
191.21,669.68,112.23,180.7
361.87,424.85,407.05,663.31
228.36,510.07,47.81,332.91
226.6,513.12,44.77,329.95
173.16,637.01,80.52,216.57
107.53,762.82,296.52,336.89
228.36,510.07,47.81,332.91
26.66,684.13,209.35,308.98
229.59,513.78,44.85,328.62
236.18,840.88,289.01,139.41
224.02,517.74,40.15,325.45
691.43,93.36,612.77,899.36
675.1,27.3,578.59,862.06
670.41,23.63,573.69,857.17
675.73,24.72,578.14,861.34
27.31,677.29,197.08,301.65
41.38,695.85,211.2,296.09
24.25,681.73,208.05,310.29
173.72,639.15,82.57,214.39
192.67,697.67,140.28,158.05
220.72,504.67,53.27,340.89
26.85,683.77,208.2,307.91
332.03,839.03,288.43,6.6
28.94,685.45,208.45,306.11
669.17,23.14,572.53,856.04
183.05,645.55,88.17,204.98
228.36,510.07,47.81,332.91
327.97,832.27,281.9,10.33
35.43,650.83,168.91,300.56
402.8,944.04,390.62,104.54
631.39,75.85,510.43,786.61
401.06,942.95,389.37,103.53
205.5,518.68,42.08,329.67
675.35,25.44,578.13,861.42
365.72,421.53,409.45,666.53
314.43,819.3,267.96,20.35
265.05,872.84,320.08,142.32
27.82,685.56,210.67,308.91
629.78,78.46,508.27,784.26
328.81,833.67,283.25,9.29
90.91,704.55,181.72,237.05
256.57,490.42,72.73,349.75
167.96,641.11,85.45,215.06
228.36,510.07,47.81,332.91
228.36,510.07,47.81,332.91
228.36,510.07,47.81,332.91
677.11,26.69,579.86,863.12
228.36,510.07,47.81,332.91
229.45,510.93,47.25,331.74
228.36,510.07,47.81,332.91
331.59,838.48,287.87,6.6
677.11,26.69,579.86,863.12
257.57,458.65,305.87,555.7
229.65,513.73,44.91,328.66
228.36,510.07,47.81,332.91
228.36,510.07,47.81,332.91
228.36,510.07,47.81,332.91
6.35,661.07,197.17,321.4
12.0,666.37,197.7,315.88
336.21,844.69,294.07,8.65
40.24,690.07,202.55,291.93
331.66,840.95,289.92,4.48
26.67,681.73,204.49,305.62
334.89,843.74,292.98,7.35
254.52,462.34,305.01,553.62
87.75,741.77,280.78,339.0
188.36,650.98,93.53,198.17
29.71,685.9,208.2,305.19
265.12,758.09,204.83,83.13
192.01,696.87,139.5,158.95
228.36,510.07,47.81,332.91
168.19,639.71,84.03,216.21
386.35,924.98,371.47,85.65
32.11,687.33,207.56,302.48
229.53,509.61,48.43,333.17
339.07,852.89,301.5,13.6
12.0,666.37,197.7,315.88
93.94,751.29,281.21,327.3
228.36,510.07,47.81,332.91
328.85,838.01,286.84,3.58
675.9,24.74,578.27,861.45
339.89,848.78,298.31,12.28
173.58,628.27,71.85,224.51
228.36,510.07,47.81,332.91
28.67,684.63,207.2,305.48
228.36,510.07,47.81,332.91
228.36,510.07,47.81,332.91
368.06,422.46,412.48,669.31
39.19,694.31,211.26,298.28
228.36,510.07,47.81,332.91
225.42,518.82,39.51,323.98
33.98,690.22,210.68,302.91
228.36,510.07,47.81,332.91
223.83,516.54,41.22,326.81
256.83,461.15,307.06,555.94
224.18,519.58,38.56,323.41
248.72,472.8,306.39,551.2
259.94,455.06,305.9,556.95
258.82,456.77,305.9,556.37
42.9,694.16,206.21,291.39
225.87,514.33,43.54,328.77
673.76,25.85,577.07,860.51
366.98,421.83,410.98,667.97
678.53,26.62,580.82,863.94
633.31,71.49,513.38,789.96
330.85,840.63,289.47,3.62
236.53,432.16,235.0,501.9
263.62,756.57,203.19,84.79
123.82,580.1,78.96,300.23
194.25,700.04,142.63,155.56
228.36,510.07,47.81,332.91
697.06,96.41,618.38,904.94
199.23,695.32,137.88,156.63
203.02,670.29,113.46,176.04
203.84,515.64,46.68,333.84
338.0,851.98,300.5,12.58
168.86,640.44,84.62,215.27
218.34,679.06,124.05,163.95
11.96,666.14,197.48,315.88
23.37,679.38,204.6,308.74
331.39,840.69,289.65,4.28
115.88,720.86,187.03,212.61
168.76,639.63,83.84,216.04
27.16,682.47,205.18,305.58
20.9,677.71,204.91,311.2
33.6,689.62,209.98,302.75
625.86,73.78,506.38,783.33
26.62,683.7,208.44,308.32
666.96,19.93,569.68,853.07
12.85,666.91,197.57,315.07
323.54,834.59,282.79,5.14
224.84,516.94,41.02,326.15
365.38,419.5,407.99,665.58
43.27,692.44,203.03,289.32
631.64,75.63,510.71,786.9
634.77,65.49,516.43,793.63
224.41,516.38,41.45,326.86
328.5,835.68,284.83,6.28
327.01,831.04,280.66,11.12
224.18,518.72,39.31,324.35
228.45,515.61,43.01,326.86
169.48,638.61,82.7,216.65
263.62,756.57,203.19,84.79
249.44,472.02,306.66,551.73
328.5,833.23,282.82,9.55
625.86,73.78,506.38,783.33
230.74,511.43,47.12,330.94
677.0,26.53,579.72,862.98
229.53,513.1,45.41,329.37
228.36,510.07,47.81,332.91
670.75,22.38,573.56,856.92
35.31,691.51,211.32,302.11
227.95,619.24,73.02,220.77
204.58,518.74,42.48,329.93
697.86,94.73,618.51,904.97
231.49,496.92,60.55,346.78
188.63,666.42,108.97,184.48
225.32,513.45,44.27,329.87
332.92,838.13,287.91,8.74
228.36,510.07,47.81,332.91
677.91,27.2,580.62,863.86
232.99,436.13,234.21,499.91
225.44,521.15,37.56,321.46
228.36,510.07,47.81,332.91
677.11,26.69,579.86,863.12
198.22,702.71,145.25,151.68
201.34,533.22,26.97,314.43
221.1,512.57,44.89,331.85
228.36,510.07,47.81,332.91
228.36,510.07,47.81,332.91
225.88,514.31,43.57,328.8
27.58,681.15,202.41,303.63
222.48,516.86,40.75,326.76
224.48,519.74,38.49,323.18
228.36,510.07,47.81,332.91
223.55,517.46,40.33,325.86
228.36,510.07,47.81,332.91
103.06,606.31,250.71,428.7
363.59,423.48,408.19,664.78
225.73,516.64,41.46,326.28
229.66,506.56,51.21,336.49
204.17,520.95,40.02,327.49
170.4,640.96,84.86,214.15
228.36,510.07,47.81,332.91
229.63,514.16,44.55,328.21
228.36,510.07,47.81,332.91
224.63,519.96,38.33,322.91
235.02,500.32,57.69,342.22
170.94,639.48,83.31,215.25
228.36,510.07,47.81,332.91
678.49,26.7,580.82,863.96
629.44,77.0,508.42,784.62
258.82,456.77,305.9,556.37
37.22,680.02,191.71,291.01
193.43,696.49,139.07,158.51
673.71,25.89,577.05,860.5
356.24,428.39,402.85,658.23
36.09,691.63,210.37,300.64
224.58,515.87,41.94,327.38
9.85,649.97,193.99,330.01
228.36,510.07,47.81,332.91
321.88,810.12,262.39,34.54
228.36,510.07,47.81,332.91
223.41,518.82,39.08,324.41
263.62,756.57,203.19,84.79
228.36,510.07,47.81,332.91
95.24,752.42,282.67,328.14
204.45,519.74,41.33,328.8
230.27,506.37,51.47,336.57
337.97,851.99,300.5,12.58
327.36,831.58,281.19,10.69
202.18,532.12,27.82,315.39
259.71,457.03,307.33,557.61
221.55,518.44,39.16,325.24
229.78,504.63,53.01,338.59
151.29,705.89,155.7,180.99
228.36,510.07,47.81,332.91
677.64,26.54,580.17,863.37
168.44,640.39,84.65,215.5
333.61,839.62,289.3,8.19
345.72,431.93,393.27,647.83
250.72,468.17,305.04,551.6
228.36,510.07,47.81,332.91
228.36,510.07,47.81,332.91
228.36,510.07,47.81,332.91
225.81,515.05,42.89,328.01
168.61,639.75,83.99,215.99
22.9,678.78,204.14,308.88
228.36,510.07,47.81,332.91
33.98,690.22,210.68,302.91
167.95,641.26,85.6,214.93
332.12,841.49,290.48,4.78
193.9,699.81,142.41,155.91
679.32,27.72,581.79,864.95
255.63,462.8,306.88,555.21
225.37,514.94,42.91,328.21
332.85,842.42,291.42,5.32
231.5,511.48,47.3,330.75
258.78,456.79,305.86,556.32
198.08,528.2,34.88,321.3
329.46,833.23,283.05,10.56
224.04,486.4,73.41,361.33
227.55,517.02,41.58,325.5
330.0,833.6,283.49,10.66
169.15,639.03,83.18,216.41
677.56,25.76,579.82,862.95
258.67,457.77,306.57,556.65
228.36,510.07,47.81,332.91
675.24,27.22,578.67,862.12
48.07,676.32,179.29,279.7
20.96,678.4,206.23,312.05
232.74,508.78,49.87,333.44
253.93,463.42,305.17,553.39
228.36,510.07,47.81,332.91
49.19,695.88,202.28,283.34
228.36,510.07,47.81,332.91
674.92,25.77,577.93,861.28
6.2,660.15,206.27,333.22
228.36,510.07,47.81,332.91
328.38,833.1,282.68,9.62
254.81,462.48,305.52,554.05
23.45,680.94,207.66,310.76
327.04,834.19,283.26,6.91
254.21,463.96,306.01,553.99
402.8,944.04,390.62,104.54
232.18,501.5,56.2,341.52
667.83,19.41,570.25,853.55
191.21,669.68,112.23,180.7
330.23,833.41,283.4,11.16
330.45,840.32,289.12,3.3
42.52,690.1,200.26,288.73
676.79,26.95,579.72,863.03
675.08,22.91,577.0,860.08
25.32,680.29,203.69,306.4
228.36,510.07,47.81,332.91
95.24,752.42,282.67,328.14
333.63,841.83,291.12,6.54
104.15,761.55,289.86,327.6
228.36,510.07,47.81,332.91
190.92,668.78,111.32,181.58
26.67,681.73,204.49,305.62
228.36,510.07,47.81,332.91
228.36,510.07,47.81,332.91
205.5,518.68,42.08,329.67
330.84,840.6,289.44,3.62
224.13,528.21,31.61,314.13
680.03,25.09,581.09,863.88
228.36,510.07,47.81,332.91
265.22,758.18,204.93,83.03
110.29,732.67,205.27,223.57
232.97,499.98,57.71,343.03
188.88,666.85,109.39,184.02
328.38,833.1,282.68,9.62
161.08,762.24,217.19,173.6
34.4,687.62,205.12,298.78
228.36,510.07,47.81,332.91
329.49,833.25,283.07,10.56
332.15,837.95,287.58,7.92
167.03,639.75,84.29,216.69
192.07,666.67,109.24,182.95
625.86,73.78,506.38,783.33
228.36,510.07,47.81,332.91
632.58,73.33,512.22,788.62
27.41,683.63,207.04,306.56
677.11,26.69,579.86,863.12
253.17,467.02,307.27,554.09
660.51,21.22,564.29,848.02
234.2,500.21,57.66,342.51
342.4,854.8,303.84,16.25
228.36,510.07,47.81,332.91
224.88,515.74,42.11,327.45
345.58,848.97,299.9,18.41
26.28,679.9,201.89,304.56
221.4,503.44,54.5,342.1
328.17,834.94,284.14,6.92
676.34,24.28,578.41,861.51
225.81,515.05,42.89,328.01
365.92,422.49,410.18,667.01
30.09,686.65,209.18,305.54
332.32,841.48,290.52,5.04
228.36,510.07,47.81,332.91
234.56,506.57,52.21,335.5
227.72,508.74,48.94,334.52
677.03,25.25,579.25,862.38
223.58,519.87,38.18,323.23
196.83,700.63,143.18,153.85
228.36,510.07,47.81,332.91
678.3,27.06,580.83,864.02
363.55,423.63,408.22,664.78
225.94,511.5,46.16,331.87
29.52,686.45,209.69,306.48
23.83,679.22,203.7,307.77
329.45,833.03,282.89,10.8
228.36,510.07,47.81,332.91
229.46,506.52,51.21,336.57
324.86,832.8,281.6,7.3
254.62,462.23,305.05,553.69
170.21,641.34,85.27,213.89
338.0,851.8,300.35,12.44
233.24,499.24,58.43,343.79
228.36,510.07,47.81,332.91
328.38,833.1,282.68,9.62
28.24,684.98,208.57,306.86
228.36,510.07,47.81,332.91
228.36,510.07,47.81,332.91
336.05,845.84,294.98,8.42
168.49,640.3,84.55,215.56
25.65,682.76,207.97,308.89
228.36,510.07,47.81,332.91
677.11,26.69,579.86,863.12
47.2,701.62,214.52,292.83
169.32,639.53,83.64,215.88
11.63,649.11,190.87,327.41
170.86,640.56,84.39,214.3
31.86,688.49,210.34,304.71
330.75,838.21,287.45,5.76
167.83,641.53,85.89,214.74
229.34,511.18,47.01,331.49
228.36,510.07,47.81,332.91
170.36,639.52,83.45,215.45
330.29,836.71,286.11,6.99
33.88,690.07,210.5,302.87
225.32,520.85,37.77,321.81
38.21,688.21,201.81,293.48
171.03,639.89,83.7,214.84
29.95,682.13,201.31,300.91
331.69,840.7,289.72,4.69
150.37,705.77,155.85,181.77
170.06,638.89,82.88,216.15
226.74,523.68,36.04,318.49
168.78,640.55,84.74,215.2
360.58,425.51,406.01,662.11
677.11,26.69,579.86,863.12
95.24,752.42,282.67,328.14
171.67,641.76,85.45,212.89
41.22,695.4,210.54,295.78
78.94,719.35,209.95,258.11
40.13,693.11,207.71,294.94
230.46,511.19,47.26,331.27
226.09,525.01,34.79,317.19
333.11,839.31,288.92,7.8
98.78,756.43,284.68,326.0
226.25,521.47,37.57,320.96
116.22,767.17,308.96,351.57
42.61,691.06,201.6,289.25
234.31,509.33,49.89,332.57
228.36,510.07,47.81,332.91
168.52,638.73,83.0,216.95
229.61,513.9,44.76,328.49
196.19,673.29,115.94,175.74
332.22,840.14,289.39,5.83
95.24,752.42,282.67,328.14
228.36,510.07,47.81,332.91
228.36,510.07,47.81,332.91
226.9,522.08,37.32,320.19
169.51,639.33,83.4,215.99
326.08,830.23,279.77,11.44
190.92,696.85,139.52,159.52
201.47,532.5,27.74,315.19
17.4,647.46,203.8,343.72
228.91,507.93,49.84,335.14
226.51,517.44,40.95,325.26
39.39,695.15,212.72,299.19
143.13,592.79,280.77,468.82
170.72,640.16,84.02,214.72
339.16,852.92,301.54,13.65
183.34,662.06,104.72,190.32
331.66,840.73,289.74,4.62
199.03,701.65,144.19,152.03
329.61,833.36,283.2,10.55
400.31,942.42,388.79,103.04
333.41,843.27,292.25,5.78
628.47,80.52,506.53,782.37
99.22,756.38,286.11,328.43
42.29,692.23,203.73,290.6
228.36,510.07,47.81,332.91
248.72,472.8,306.39,551.2
228.36,510.07,47.81,332.91
228.36,510.07,47.81,332.91
250.79,468.22,305.17,551.7
228.36,510.07,47.81,332.91
228.36,510.07,47.81,332.91
37.31,688.94,203.94,295.4
228.36,510.07,47.81,332.91
27.94,685.39,210.01,308.27
28.76,683.69,205.27,304.14
28.39,685.73,210.02,307.84
226.34,514.77,43.24,328.2
225.59,515.76,42.22,327.28
4.31,663.13,205.3,328.79
228.36,510.07,47.81,332.91
30.75,681.55,199.6,299.42
229.05,511.82,46.39,330.86
230.13,513.36,45.35,328.98
228.36,510.07,47.81,332.91
42.66,697.22,212.12,295.51
223.08,518.41,39.39,324.93
12.0,666.37,197.7,315.88
228.36,510.07,47.81,332.91
228.36,510.07,47.81,332.91
321.78,827.44,276.44,12.62
330.99,836.92,286.45,7.61
661.26,21.11,564.96,848.66
330.56,839.01,288.06,4.63
204.54,522.64,37.81,325.41
228.36,510.07,47.81,332.91
363.79,801.06,271.29,87.05
331.18,840.36,289.32,4.25
172.68,631.92,75.58,221.45
228.36,510.07,47.81,332.91
168.77,640.72,84.91,215.05
335.48,845.91,294.91,7.92
230.61,509.97,48.34,332.56
225.36,517.2,40.9,325.76
191.21,669.68,112.23,180.7
228.36,510.07,47.81,332.91
29.1,681.03,200.55,301.34
364.91,882.76,331.97,44.09
191.21,669.68,112.23,180.7
95.24,752.43,282.64,328.09
27.52,682.84,205.38,305.36
226.05,513.89,43.97,329.22
228.36,510.07,47.81,332.91
193.8,698.78,141.37,156.68
12.0,666.37,197.7,315.88
22.93,677.94,202.64,308.0
679.31,26.24,581.17,864.18
228.36,510.07,47.81,332.91
673.92,18.68,574.52,857.27
191.21,669.68,112.23,180.7
33.96,690.1,210.43,302.74
666.9,23.52,570.72,854.37
416.34,956.4,403.58,116.75
13.94,668.37,198.32,314.26
678.16,25.38,580.07,863.1
697.97,94.79,618.62,905.08
24.11,680.55,205.77,308.79
228.87,521.66,38.42,320.29
230.67,509.38,48.86,333.19
36.74,678.73,190.6,291.28
227.03,510.69,47.04,332.51
327.0,834.37,283.4,6.63
677.79,26.61,580.3,863.5
330.14,838.68,287.69,4.44
168.01,638.62,82.99,217.27
205.5,518.68,42.08,329.67
27.53,683.58,206.78,306.27
228.36,510.07,47.81,332.91
336.08,851.62,299.78,11.97
234.75,506.51,52.31,335.54
228.36,510.07,47.81,332.91
29.15,685.82,208.92,306.25
131.74,773.77,328.56,374.96
170.88,640.39,84.22,214.45
228.36,510.07,47.81,332.91
332.52,837.38,287.2,9.06
260.64,454.8,306.63,557.71
226.82,522.0,37.35,320.28
235.66,499.6,58.45,342.88
227.77,514.49,43.78,328.21
258.82,456.77,305.9,556.37
170.06,638.89,82.88,216.15
368.0,422.52,412.45,669.26
30.39,686.79,209.02,305.13
223.68,516.62,41.12,326.75
228.36,510.07,47.81,332.91
198.84,701.88,144.42,151.96
233.46,508.22,50.53,333.91
328.83,833.05,282.75,10.13
224.8,517.18,40.8,325.9
26.67,681.73,204.49,305.62
169.37,639.3,83.4,216.07
39.55,694.12,210.36,297.27
231.84,505.44,52.56,337.25
10.69,664.62,196.93,317.0
151.29,705.89,155.7,180.99
331.68,841.79,290.62,4.12
234.33,506.67,52.06,335.43
229.94,513.96,44.8,328.36
228.36,510.07,47.81,332.91
40.65,693.76,208.21,294.76
43.27,692.44,203.03,289.32
228.36,510.07,47.81,332.91
114.31,722.58,189.98,214.73
28.51,685.3,208.83,306.8
230.68,511.61,46.96,330.77
401.53,943.25,389.71,103.81
674.88,22.75,576.8,859.88
170.57,637.96,81.88,216.77
678.66,27.76,581.35,864.58
232.12,510.56,48.23,331.64
228.36,510.07,47.81,332.91
168.13,641.1,85.4,215.0
191.21,669.68,112.23,180.7
30.01,681.19,199.84,300.19
329.45,833.54,283.31,10.13
227.98,494.25,63.48,350.75
677.36,26.64,580.02,863.25
23.77,678.03,201.81,306.81
254.62,462.23,305.05,553.69
340.69,853.78,302.6,14.83
228.36,510.07,47.81,332.91
28.56,685.26,208.65,306.61
226.87,517.61,40.91,325.0
169.5,642.02,86.06,213.58
228.36,510.07,47.81,332.91
223.97,518.84,39.16,324.26
331.73,839.83,289.02,5.42
269.28,794.21,238.05,59.12
10.37,656.69,191.49,319.7
226.18,521.62,37.42,320.81
40.28,694.63,210.33,296.54
132.21,592.96,269.78,457.33
193.33,670.99,113.57,178.78
372.09,318.43,239.57,521.76
228.36,510.07,47.81,332.91
328.38,833.1,282.68,9.62
19.58,671.84,197.34,308.83
33.53,689.02,208.84,301.99
233.24,499.24,58.43,343.79
680.08,25.2,581.18,863.98
631.64,75.63,510.71,786.9
206.56,516.73,43.91,331.55
6.69,665.08,201.45,321.94
228.36,510.07,47.81,332.91
228.36,510.07,47.81,332.91
337.93,851.67,300.23,12.32
339.13,853.0,301.6,13.7
228.36,510.07,47.81,332.91
258.82,456.77,305.9,556.37
679.22,28.11,581.88,865.09
669.59,21.89,572.47,855.86
115.88,720.86,187.03,212.61
328.38,833.1,282.68,9.62
677.11,26.69,579.86,863.12
333.67,842.09,291.34,6.46
679.01,25.26,580.56,863.49
228.36,510.07,47.81,332.91
680.04,29.08,582.82,866.05
37.48,681.29,193.04,291.05
168.7,639.07,83.3,216.57
320.62,811.9,263.46,31.47
254.62,462.23,305.05,553.69
28.62,684.54,207.08,305.45
230.38,509.8,48.43,332.79
386.56,927.44,373.59,88.37
328.62,832.74,282.45,10.33
200.23,530.59,30.67,317.78
326.72,835.23,284.04,5.26
323.5,831.52,280.22,8.34
672.9,23.77,575.71,859.04
209.06,672.17,116.0,172.58
228.36,510.07,47.81,332.91
676.94,25.56,579.31,862.48
226.83,521.12,38.04,321.22
223.34,519.36,38.59,323.84
228.36,510.07,47.81,332.91
628.44,80.49,506.51,782.35
254.16,461.51,303.79,552.77
228.36,510.07,47.81,332.91
676.17,24.49,578.36,861.5
232.05,509.78,48.86,332.49
321.88,810.12,262.39,34.54
675.91,25.15,578.43,861.65
634.77,65.49,516.43,793.63
330.34,833.49,283.49,11.17
228.36,510.07,47.81,332.91
332.89,843.34,292.18,5.25
39.59,693.53,209.17,296.41
677.48,25.54,579.68,862.79
228.36,510.07,47.81,332.91
642.15,65.26,522.98,799.64
224.95,527.08,32.79,315.18
228.36,510.07,47.81,332.91
39.12,691.58,206.24,295.0
232.95,502.68,55.23,340.06
673.69,25.97,577.06,860.51
325.88,829.52,279.14,12.24
321.8,827.55,276.53,12.49
190.93,668.79,111.34,181.57
228.36,510.07,47.81,332.91
228.36,510.07,47.81,332.91
175.49,640.17,83.36,212.76
232.76,502.74,55.15,340.03
306.09,812.31,260.2,27.73
397.36,939.79,386.03,100.53
228.36,510.07,47.81,332.91
191.23,670.74,113.28,179.8
258.82,456.77,305.9,556.37
357.12,427.62,403.39,658.97
675.22,24.76,577.78,861.02
678.56,26.74,580.89,864.02
263.62,756.57,203.19,84.79
189.96,694.78,137.46,161.48
179.17,482.0,147.85,414.05
22.28,679.26,205.94,310.62
341.69,854.56,303.47,15.76
677.11,26.69,579.86,863.12
10.27,666.08,198.99,317.79
322.7,828.3,277.37,11.93
37.34,681.08,192.9,291.15
345.6,849.17,300.06,18.37
677.11,26.69,579.86,863.12
227.7,520.01,39.22,322.26
